passenger-carry, t = 8, b = 0, origin = 2, dest = 1, val = 29.850831926340625
passenger-carry, t = 8, b = 0, origin = 2, dest = 2, val = 241.78713305713137
passenger-carry, t = 9, b = 0, origin = 0, dest = 0, val = 2.994630802379393
passenger-carry, t = 9, b = 0, origin = 0, dest = 1, val = 2.9841888749004815
passenger-carry, t = 9, b = 0, origin = 0, dest = 2, val = 23.89443450234966
passenger-carry, t = 9, b = 0, origin = 1, dest = 0, val = 2.980816512103351
passenger-carry, t = 9, b = 0, origin = 1, dest = 1, val = 2.9978214772591145
passenger-carry, t = 9, b = 0, origin = 1, dest = 2, val = 23.89456531771435
passenger-carry, t = 9, b = 0, origin = 2, dest = 0, val = 30.330683582208533
passenger-carry, t = 9, b = 0, origin = 2, dest = 1, val = 30.646445137538073
passenger-carry, t = 9, b = 0, origin = 2, dest = 2, val = 241.21589819160295
passenger-carry, t = 10, b = 0, origin = 0, dest = 0, val = 2.991328488433824
passenger-carry, t = 10, b = 0, origin = 0, dest = 1, val = 2.994559845612584
passenger-carry, t = 10, b = 0, origin = 0, dest = 2, val = 23.623002391816453
passenger-carry, t = 10, b = 0, origin = 1, dest = 0, val = 2.9957681720906857
passenger-carry, t = 10, b = 0, origin = 1, dest = 1, val = 2.9914092072003955
passenger-carry, t = 10, b = 0, origin = 1, dest = 2, val = 23.568041685495125
passenger-carry, t = 10, b = 0, origin = 2, dest = 0, val = 30.32662653017306
passenger-carry, t = 10, b = 0, origin = 2, dest = 1, val = 31.164281109848872
passenger-carry, t = 10, b = 0, origin = 2, dest = 2, val = 237.76373865578935
passenger-carry, t = 11, b = 0, origin = 0, dest = 0, val = 3.0087002750640224
passenger-carry, t = 11, b = 0, origin = 0, dest = 1, val = 3.0129467190986357
passenger-carry, t = 11, b = 0, origin = 0, dest = 2, val = 24.454938310867064
passenger-carry, t = 11, b = 0, origin = 1, dest = 0, val = 2.9918911168069773
passenger-carry, t = 11, b = 0, origin = 1, dest = 1, val = 3.0031623697592753
passenger-carry, t = 11, b = 0, origin = 1, dest = 2, val = 24.32218176972244
passenger-carry, t = 11, b = 0, origin = 2, dest = 0, val = 30.271739905377643
passenger-carry, t = 11, b = 0, origin = 2, dest = 1, val = 30.016816839692243
passenger-carry, t = 11, b = 0, origin = 2, dest = 2, val = 228.564730967733
passenger-carry, t = 12, b = 0, origin = 0, dest = 0, val = 11.647021088233995
passenger-carry, t = 12, b = 0, origin = 0, dest = 1, val = 105.84493158996763
passenger-carry, t = 12, b = 0, origin = 0, dest = 2, val = 21.9727326254806
passenger-carry, t = 12, b = 0, origin = 1, dest = 0, val = 8.991925496942061
passenger-carry, t = 12, b = 0, origin = 1, dest = 1, val = 70.65600179636999
passenger-carry, t = 12, b = 0, origin = 1, dest = 2, val = 19.4520021665168
