T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
8	1	2	23.53128205128205	Travel	1		
8	1	3	19.516470588235293	Travel	1		
8	1	0	73.03415458937198	Travel	1		
8	0	3	79.225	Travel	1		
8	2	2	10.614864864864865	Travel	1		
8	2	3	33.63285714285714	Travel	1		
8	0	1	70.63513888888889	Travel	1		
8	0	0	16.545607476635514	Travel	1		
8	3	3	13.264666666666667	Travel	1		
8	2	1	22.677058823529414	Travel	1		
9	3	0	69.15088888888889	Travel	1		
9	0	3	79.225	Travel	1		
9	2	2	10.614864864864865	Travel	1		
9	2	0	63.21148936170213	Travel	1		
9	0	1	70.63513888888889	Travel	1		
9	3	1	20.336905444126074	Travel	1		
9	1	0	73.03415458937198	Travel	1		
9	2	1	22.677058823529414	Travel	1		
9	0	0	16.545607476635514	Travel	1		
9	2	3	33.63285714285714	Travel	1		
9	0	2	60.876	Travel	1		
9	1	3	19.516470588235293	Travel	1		
9	3	2	36.574666666666666	Travel	1		
9	3	3	13.264666666666667	Travel	1		
9	1	1	15.798125	Travel	1		
9	1	2	23.53128205128205	Travel	1		
10	2	0	63.21148936170213	Travel	1		
10	2	1	22.677058823529414	Travel	1		
10	1	3	19.516470588235293	Travel	1		
10	2	2	10.614864864864865	Travel	1		
10	1	2	23.53128205128205	Travel	1		
10	1	1	15.798125	Travel	1		
10	2	3	33.63285714285714	Travel	1		
10	1	0	73.03415458937198	Travel	1		
10	0	3	79.225	Travel	1		
10	3	3	13.264666666666667	Travel	1		
10	3	0	69.15088888888889	Travel	1		
10	3	2	36.574666666666666	Travel	1		
10	0	2	60.876	Travel	1		
10	3	1	20.336905444126074	Travel	1		
10	0	0	16.545607476635514	Travel	1		
10	0	1	70.63513888888889	Travel	1		
11	3	0	69.15088888888889	Travel	1		
11	2	1	22.677058823529414	Travel	1		
11	2	0	63.21148936170213	Travel	1		
11	1	3	19.516470588235293	Travel	1		
11	1	1	15.798125	Travel	1		
11	3	2	36.574666666666666	Travel	1		
11	2	2	10.614864864864865	Travel	1		
11	1	2	23.53128205128205	Travel	1		
11	0	3	79.225	Travel	1		
11	0	1	70.63513888888889	Travel	1		
11	1	0	73.03415458937198	Travel	1		
11	3	1	20.336905444126074	Travel	1		
11	2	3	33.63285714285714	Travel	1		
11	0	2	60.876	Travel	1		
11	3	3	13.264666666666667	Travel	1		
11	0	0	16.545607476635514	Travel	1		
12	2	1	24.229692307692307	Travel	1		
12	0	3	78.81294117647059	Travel	1		
12	1	3	18.93782178217822	Travel	1		
12	2	0	65.88021276595744	Travel	1		
12	0	2	65.91433333333333	Travel	1		
12	1	2	25.46327868852459	Travel	1		
12	3	1	21.660574018126887	Travel	1		
12	1	1	14.912771362586605	Travel	1		
12	3	2	34.67875	Travel	1		
12	3	0	82.21795918367347	Travel	1		
12	3	3	11.901330049261082	Travel	1		
12	0	1	75.54779411764706	Travel	1		
12	0	0	13.667898089171976	Travel	1		
12	2	2	13.28955223880597	Travel	1		
12	1	0	72.46573275862069	Travel	1		
12	2	3	34.86769230769231	Travel	1		
13	1	2	25.46327868852459	Travel	1		
13	0	3	78.81294117647059	Travel	1		
13	2	1	24.229692307692307	Travel	1		
13	1	0	72.46573275862069	Travel	1		
13	0	2	65.91433333333333	Travel	1		
13	3	2	34.67875	Travel	1		
13	1	1	14.912771362586605	Travel	1		
13	0	1	75.54779411764706	Travel	1		
13	2	0	65.88021276595744	Travel	1		
13	3	3	11.901330049261082	Travel	1		
13	2	2	13.28955223880597	Travel	1		
13	0	0	13.667898089171976	Travel	1		
13	3	1	21.660574018126887	Travel	1		
13	2	3	34.86769230769231	Travel	1		
13	1	3	18.93782178217822	Travel	1		
13	3	0	82.21795918367347	Travel	1		
14	2	1	24.229692307692307	Travel	1		
14	0	2	65.91433333333333	Travel	1		
14	3	2	34.67875	Travel	1		
14	2	0	65.88021276595744	Travel	1		
14	1	3	18.93782178217822	Travel	1		
14	1	0	72.46573275862069	Travel	1		
14	0	1	75.54779411764706	Travel	1		
14	2	2	13.28955223880597	Travel	1		
14	3	1	21.660574018126887	Travel	1		
14	1	2	25.46327868852459	Travel	1		
14	0	3	78.81294117647059	Travel	1		
14	1	1	14.912771362586605	Travel	1		
14	3	3	11.901330049261082	Travel	1		
14	0	0	13.667898089171976	Travel	1		
14	2	3	34.86769230769231	Travel	1		
14	3	0	82.21795918367347	Travel	1		
15	0	1	75.54779411764706	Travel	1		
15	3	3	11.901330049261082	Travel	1		
15	1	0	72.46573275862069	Travel	1		
15	2	3	34.86769230769231	Travel	1		
15	2	2	13.28955223880597	Travel	1		
15	2	1	24.229692307692307	Travel	1		
15	3	0	82.21795918367347	Travel	1		
15	3	2	34.67875	Travel	1		
