trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_trip_requests_1,num_cars_region_1,num_trip_requests_2,num_cars_region_2,num_trip_requests_3,num_cars_region_3
0,23.5,3.375,0.3200952982202982,0.7986111111111112,0.022569444444444444,0.17881944444444445,1.6666666666666667,2.2291666666666665,1.6458333333333333,0.4322916666666667,0.328125,0.23958333333333334,1.1041666666666667,1.125,1.2708333333333333,1.0416666666666667,0.7083333333333334,0.9791666666666666,0.2916666666666667,0.75
1,23.5,3.1666666666666665,0.38086294492544487,0.8368055555555555,0.026041666666666668,0.13715277777777776,1.7708333333333333,2.2291666666666665,1.3333333333333333,0.3680555555555556,0.35590277777777773,0.2760416666666667,1.1041666666666667,1.1041666666666667,1.3125,1.0833333333333333,0.5,0.3125,0.25,0.9375
2,23.5,2.5833333333333335,0.4189160954785955,0.8229166666666666,0.03125,0.14583333333333334,1.2916666666666667,1.875,1.2083333333333333,0.3663194444444444,0.3802083333333333,0.2534722222222222,0.8333333333333334,1.1041666666666667,1.125,0.7708333333333334,0.2916666666666667,0.8333333333333334,0.3333333333333333,0.75
3,23.5,2.8125,0.2968998015873016,0.8194444444444445,0.020833333333333332,0.15972222222222224,1.3541666666666667,2.1041666666666665,1.4166666666666667,0.4079861111111111,0.3576388888888889,0.234375,1.0625,1.0416666666666667,1.0,0.9166666666666666,0.4583333333333333,0.9583333333333334,0.2916666666666667,0.75
4,23.5,2.9583333333333335,0.2997940716690717,0.7638888888888888,0.020833333333333332,0.2152777777777778,1.1875,2.3958333333333335,1.7291666666666667,0.5086805555555556,0.2899305555555555,0.20138888888888887,1.0416666666666667,1.0625,1.2083333333333333,1.25,0.5416666666666666,1.0416666666666667,0.16666666666666666,0.9375
5,23.5,2.75,0.32688492063492064,0.7951388888888888,0.020833333333333332,0.1840277777777778,1.4166666666666667,2.1041666666666665,1.2916666666666667,0.38715277777777773,0.40277777777777773,0.21006944444444445,1.0416666666666667,1.0208333333333333,1.0625,0.7916666666666666,0.4375,1.1458333333333333,0.20833333333333334,0.8958333333333334
6,23.5,3.0416666666666665,0.3659143518518519,0.8038194444444445,0.024305555555555552,0.171875,1.5208333333333333,2.2708333333333335,1.3958333333333333,0.4322916666666667,0.3298611111111111,0.2378472222222222,1.0833333333333333,0.9375,1.1458333333333333,0.9791666666666666,0.4583333333333333,0.7083333333333334,0.3541666666666667,1.1875
7,23.5,2.8125,0.36218584656084657,0.8854166666666666,0.03472222222222222,0.0798611111111111,1.625,1.8958333333333333,1.1458333333333333,0.3038194444444445,0.4444444444444444,0.2517361111111111,0.9583333333333334,0.8125,1.2708333333333333,0.7708333333333334,0.4166666666666667,0.7291666666666666,0.16666666666666666,0.5208333333333334
8,23.5,3.4375,0.3193617724867725,0.890625,0.03298611111111111,0.07638888888888888,1.7916666666666667,2.3541666666666665,1.625,0.28125,0.40625,0.3125,1.3125,0.9583333333333334,1.3125,0.8125,0.5625,0.625,0.25,0.4166666666666667
9,23.5,2.9166666666666665,0.3480414261664262,0.8125,0.022569444444444444,0.16493055555555555,1.4166666666666667,2.2916666666666665,1.375,0.41840277777777773,0.3645833333333333,0.21701388888888887,0.9166666666666666,1.0208333333333333,1.2916666666666667,1.0208333333333333,0.5,0.7708333333333334,0.20833333333333334,0.6875
