t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars
0,17.0,0.0,0.0,0.24,0.76
1,52.0,0.11594202898550725,0.0,0.08,0.92
2,39.0,0.034482758620689655,0.26,0.24,0.5
3,42.0,0.41975308641975306,0.7,0.0,0.3
4,41.0,0.078125,0.06,0.24,0.7
5,36.0,0.1917808219178082,0.04,0.0,0.96
6,38.0,0.029411764705882353,0.0,0.24,0.76
7,36.0,0.20833333333333334,0.34,0.0,0.66
8,26.0,0.10909090909090909,0.0,0.16,0.84
9,44.0,0.07575757575757576,0.18,0.0,0.82
10,21.0,0.12903225806451613,0.16,0.0,0.84
11,40.0,0.017857142857142856,0.0,0.08,0.92
12,48.0,0.056818181818181816,0.0,0.0,1.0
13,52.0,0.050505050505050504,0.0,0.08,0.92
14,37.0,0.10112359550561797,0.0,0.0,1.0
15,54.0,0.056818181818181816,0.0,0.0,1.0
16,50.0,0.04854368932038835,0.0,0.0,1.0
17,54.0,0.057692307692307696,0.0,0.08,0.92
18,41.0,0.10526315789473684,0.0,0.0,1.0
19,45.0,0.09302325581395349,0.0,0.0,1.0
20,55.0,0.01,0.0,0.08,0.92
21,35.0,0.06666666666666667,0.0,0.0,1.0
22,45.0,0.125,0.0,0.08,0.92
23,48.0,0.06818181818181818,0.0,0.0,1.0
24,60.0,0.12264150943396226,0.0,0.0,1.0
25,53.0,0.08035714285714286,0.0,0.0,1.0
26,51.0,0.07692307692307693,0.0,0.0,1.0
27,42.0,0.05434782608695652,0.0,0.0,1.0
28,66.0,0.009259259259259259,0.0,0.08,0.92
29,57.0,0.040983606557377046,0.0,0.0,1.0
30,48.0,0.125,0.0,0.0,1.0
31,46.0,0.044444444444444446,0.02,0.0,0.98
32,60.0,0.009708737864077669,0.0,0.08,0.92
33,51.0,0.04504504504504504,0.0,0.0,1.0
34,62.0,0.04424778761061947,0.0,0.0,1.0
35,51.0,0.044642857142857144,0.0,0.0,1.0
36,57.0,0.07476635514018691,0.0,0.0,1.0
37,81.0,0.036231884057971016,0.0,0.0,1.0
38,60.0,0.07142857142857142,0.0,0.08,0.92
39,57.0,0.11965811965811966,0.0,0.0,1.0
40,56.0,0.027777777777777776,0.04,0.0,0.96
41,67.0,0.024793388429752067,0.0,0.04,0.96
42,66.0,0.07633587786259542,0.0,0.08,0.92
43,59.0,0.04,0.0,0.0,1.0
44,64.0,0.041666666666666664,0.0,0.0,1.0
45,60.0,0.040983606557377046,0.0,0.0,1.0
46,65.0,0.11382113821138211,0.0,0.0,1.0
47,57.0,0.11764705882352941,0.0,0.0,1.0
