t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars
118,97.0,0.06779661016949153,0.0,0.0,1.0
119,84.0,0.06629834254143646,0.0,0.0,1.0
120,88.0,0.06976744186046512,0.0,0.0,1.0
121,82.0,0.05357142857142857,0.015,0.0,0.985
122,77.0,0.0759493670886076,0.015,0.0,0.985
123,91.0,0.0736196319018405,0.0,0.0,1.0
124,76.0,0.07317073170731707,0.0,0.0,1.0
125,69.0,0.08391608391608392,0.0,0.0,1.0
126,69.0,0.08823529411764706,0.0,0.0,1.0
127,91.0,0.075,0.0,0.0,1.0
128,73.0,0.07317073170731707,0.0,0.0,1.0
129,88.0,0.07453416149068323,0.0,0.0,1.0
130,84.0,0.06976744186046512,0.0,0.0,1.0
131,85.0,0.07228915662650602,0.0,0.0,1.0
132,68.0,0.07947019867549669,0.0,0.0,1.0
133,71.0,0.08633093525179857,0.0,0.0,1.0
134,75.0,0.0821917808219178,0.0,0.0,1.0
135,81.0,0.07692307692307693,0.0,0.0,1.0
136,67.0,0.08108108108108109,0.0,0.0,1.0
137,63.0,0.09230769230769231,0.0,0.0,1.0
138,72.0,0.08888888888888889,0.0,0.0,1.0
139,74.0,0.0821917808219178,0.0,0.0,1.0
140,89.0,0.0736196319018405,0.0,0.0,1.0
141,70.0,0.07547169811320754,0.0,0.0,1.0
142,79.0,0.08053691275167785,0.0,0.0,1.0
143,73.0,0.07894736842105263,0.0,0.0,1.0
