trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars
0,23.5,6.125,0.20218423937173938,0.4739583333333333,0.008680555555555554,0.517361111111111,1.8333333333333333,4.979166666666667,4.145833333333333,0.8177083333333334,0.1423611111111111,0.03993055555555555
1,23.5,6.125,0.26248709372350676,0.6788194444444445,0.04340277777777778,0.2777777777777778,2.5625,4.666666666666667,3.4375,0.513888888888889,0.24479166666666666,0.24131944444444445
2,23.5,6.125,0.2377551075467742,0.6024305555555556,0.015625,0.3819444444444444,2.1666666666666665,4.770833333333333,3.8333333333333335,0.7135416666666666,0.19444444444444445,0.0920138888888889
3,23.5,6.125,0.23438833688394112,0.6597222222222222,0.027777777777777776,0.3125,2.2916666666666665,4.875,3.7083333333333335,0.6440972222222222,0.2309027777777778,0.125
4,23.5,6.125,0.26980321944137736,0.6944444444444445,0.026041666666666668,0.2795138888888889,2.5625,4.541666666666667,3.4375,0.6041666666666666,0.2829861111111111,0.11284722222222222
5,23.5,6.125,0.21322402134902133,0.48784722222222227,0.012152777777777776,0.5,2.0416666666666665,4.916666666666667,4.0,0.7795138888888888,0.15277777777777776,0.06770833333333333
6,23.5,6.125,0.24786183145558147,0.6215277777777778,0.024305555555555552,0.3541666666666667,2.2916666666666665,4.583333333333333,3.7083333333333335,0.6041666666666666,0.2309027777777778,0.16493055555555555
7,23.5,6.125,0.28111527537478626,0.6996527777777778,0.027777777777777776,0.2725694444444444,2.6458333333333335,4.604166666666667,3.3541666666666665,0.548611111111111,0.2777777777777778,0.17361111111111113
8,23.5,6.125,0.2588957319686486,0.6024305555555556,0.01736111111111111,0.3802083333333333,2.4791666666666665,4.604166666666667,3.5416666666666665,0.6822916666666666,0.2309027777777778,0.08680555555555557
9,23.5,6.125,0.35498515213439413,0.7951388888888888,0.03993055555555555,0.16493055555555555,3.2291666666666665,4.166666666666667,2.8125,0.4583333333333333,0.3576388888888889,0.1840277777777778
