t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
50,7.3,0.4404761904761905,0.6333333333333333,0.24166666666666664,0.10833333333333332,0.016666666666666666,3.1,4.6,1.6,0.15,0.11666666666666665,0.1,0.125,0.075,0.075,0.11666666666666665,0.10833333333333332,0.075,0.05833333333333333,1.8,1.6,1.549999999999999,1.7,0.6,1.0,2.5,0.8,1.0,1.3,1.2,1.549999999999999,4.5
51,5.1,0.42871099488746545,0.675,0.23333333333333334,0.07499999999999998,0.016666666666666666,3.2,2.9,3.6,0.13333333333333333,0.14166666666666666,0.06666666666666667,0.13333333333333333,0.075,0.075,0.13333333333333333,0.125,0.05833333333333333,0.05833333333333333,2.1,0.9,0.5499999999999989,1.7,1.0,1.0,0.9,0.5,1.0,0.4,1.1,2.099999999999998,4.5
52,5.8,0.47259740259740257,0.7083333333333333,0.21666666666666665,0.05833333333333333,0.016666666666666666,4.1,3.1,1.5,0.15833333333333333,0.11666666666666665,0.05833333333333333,0.15833333333333333,0.08333333333333333,0.075,0.13333333333333333,0.11666666666666665,0.06666666666666667,0.03333333333333333,1.5,0.5,1.0,2.3,0.8,1.0,1.3,0.4,0.0,0.7,0.8,1.0999999999999979,4.5
53,4.7,0.3775,0.625,0.275,0.1,0.0,2.8,3.0,2.0,0.15833333333333333,0.125,0.049999999999999996,0.15833333333333333,0.08333333333333333,0.09166666666666666,0.13333333333333333,0.09166666666666666,0.08333333333333333,0.025,1.0,1.1,1.549999999999999,1.8,0.6,0.5499999999999989,1.4,0.3,1.0999999999999979,0.5,0.5,1.549999999999999,4.5
54,6.0,0.2882176157176157,0.5666666666666667,0.35833333333333334,0.05,0.025,2.2,4.3,2.5,0.15833333333333333,0.10833333333333332,0.05833333333333333,0.16666666666666666,0.1,0.11666666666666665,0.1,0.075,0.09166666666666666,0.024999999999999998,0.8,2.0,1.549999999999999,2.9,0.6,0.5499999999999989,1.4,0.4,0.0,0.9,1.1,1.0,4.5
55,5.6,0.35014012303485986,0.625,0.3,0.05,0.025,3.1,3.5,3.3,0.15833333333333333,0.10833333333333332,0.075,0.19166666666666665,0.06666666666666667,0.15,0.08333333333333333,0.08333333333333333,0.06666666666666667,0.016666666666666666,1.2,1.5,1.549999999999999,2.0,1.1,0.5499999999999989,1.6,0.4,0.5499999999999989,0.8,0.5,0.0,4.5
56,7.9,0.3266332497911445,0.6666666666666667,0.31666666666666665,0.016666666666666666,0.0,3.6,5.4,2.4,0.15,0.09166666666666666,0.11666666666666667,0.14166666666666666,0.11666666666666665,0.175,0.08333333333333333,0.05833333333333333,0.05833333333333333,0.008333333333333333,2.8,1.1,0.5499999999999989,2.7,0.4,0.5499999999999989,1.3,0.3,0.0,1.1,0.3,0.0,4.5
57,5.5,0.24223665223665222,0.5916666666666666,0.375,0.03333333333333333,0.0,2.4,4.1,4.4,0.15833333333333333,0.075,0.11666666666666667,0.15833333333333333,0.16666666666666666,0.13333333333333333,0.08333333333333333,0.075,0.03333333333333333,0.0,1.7,0.6,1.0,1.3,0.4,0.0,1.8,0.7,0.0,0.7,0.2,0.5499999999999989,4.5
58,6.0,0.4234448884448884,0.75,0.19166666666666668,0.05,0.008333333333333333,4.0,3.9,2.2,0.15,0.10833333333333332,0.13333333333333333,0.13333333333333333,0.18333333333333332,0.10833333333333332,0.08333333333333333,0.08333333333333333,0.016666666666666666,0.0,1.5,1.6,1.0,2.3,1.1,1.549999999999999,1.2,0.3,0.0,1.0,0.4,0.0,4.5
59,6.1,0.3537878787878788,0.65,0.26666666666666666,0.05,0.03333333333333333,3.3,4.3,2.4,0.15833333333333333,0.125,0.15,0.15833333333333333,0.13333333333333333,0.09166666666666666,0.09166666666666666,0.05833333333333333,0.025,0.008333333333333333,2.1,1.0,1.549999999999999,1.9,0.9,0.5499999999999989,1.1,0.2,0.0,1.0,1.1,0.5499999999999989,4.5
60,5.3,0.3707159507159507,0.6583333333333333,0.225,0.11666666666666665,0.0,3.6,3.6,2.4,0.15833333333333333,0.14166666666666666,0.125,0.20833333333333334,0.125,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.016666666666666666,0.016666666666666666,1.1,1.2,2.0,1.8,0.9,1.0,1.5,0.5,1.0,0.9,0.7,1.549999999999999,4.5
61,5.7,0.2787121212121212,0.6083333333333333,0.175,0.2,0.016666666666666666,2.3,4.4,2.6,0.125,0.11666666666666665,0.125,0.19166666666666668,0.15,0.1,0.11666666666666665,0.03333333333333333,0.008333333333333333,0.03333333333333333,2.0,1.1,2.0,2.0,0.7,1.549999999999999,1.2,0.9,1.549999999999999,0.5,0.6,1.549999999999999,4.5
62,6.3,0.45667443667443663,0.75,0.175,0.041666666666666664,0.03333333333333333,4.6,3.9,2.2,0.14166666666666666,0.11666666666666665,0.13333333333333333,0.15833333333333333,0.1,0.125,0.11666666666666665,0.041666666666666664,0.05,0.016666666666666666,1.6,1.3,1.549999999999999,1.8,1.0,0.0,1.7,1.1,0.0,1.2,1.3,0.5499999999999989,4.5
63,6.4,0.3078388278388278,0.7166666666666666,0.2,0.058333333333333334,0.025,2.7,4.3,3.3,0.15833333333333333,0.09999999999999999,0.15833333333333333,0.15,0.10833333333333332,0.13333333333333333,0.10833333333333332,0.03333333333333333,0.05,0.0,1.4,1.3,2.099999999999998,2.4,0.9,0.5499999999999989,1.7,0.1,0.0,0.9,0.7,0.5499999999999989,4.5
