trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_trip_requests_1,num_cars_region_1,num_trip_requests_2,num_cars_region_2,num_trip_requests_3,num_cars_region_3
0,23.5,3.1666666666666665,0.35267030423280427,0.8871527777777778,0.0625,0.05034722222222222,1.9166666666666667,2.2291666666666665,1.1666666666666667,0.171875,0.37152777777777773,0.45659722222222227,1.25,0.625,1.0833333333333333,0.7708333333333334,0.5208333333333334,0.6458333333333334,0.3125,0.625
1,23.5,2.9375,0.3740823412698413,0.8576388888888888,0.08506944444444443,0.057291666666666664,1.6041666666666667,1.8125,1.25,0.024305555555555552,0.3854166666666667,0.5902777777777778,1.125,0.625,1.0833333333333333,0.9166666666666666,0.5,0.7708333333333334,0.22916666666666666,0.8333333333333334
2,23.5,2.9583333333333335,0.4361607142857143,0.8940972222222222,0.0642361111111111,0.041666666666666664,1.9375,1.875,1.0,0.05555555555555555,0.4010416666666667,0.5434027777777778,1.125,0.7083333333333334,1.1666666666666667,0.9375,0.4375,0.5416666666666666,0.22916666666666666,0.4583333333333333
3,23.5,2.5833333333333335,0.3385416666666667,0.8732638888888888,0.06597222222222222,0.06076388888888889,1.3958333333333333,1.7291666666666667,1.125,0.1684027777777778,0.3263888888888889,0.5052083333333334,1.0208333333333333,0.5,0.9375,0.6666666666666666,0.3958333333333333,0.9375,0.22916666666666666,0.75
4,23.5,2.8541666666666665,0.3748759920634921,0.8611111111111112,0.078125,0.06076388888888889,1.6666666666666667,1.7916666666666667,1.1458333333333333,0.09895833333333333,0.296875,0.6041666666666666,1.0,0.5833333333333334,1.0,1.0,0.5833333333333334,0.8125,0.2708333333333333,0.6666666666666666
5,23.5,3.0,0.36088113275613276,0.8680555555555555,0.08680555555555557,0.04513888888888889,1.625,2.0625,1.3333333333333333,0.0954861111111111,0.3506944444444444,0.5538194444444444,1.2708333333333333,0.7291666666666666,1.0416666666666667,0.8125,0.5208333333333334,0.4375,0.16666666666666666,0.9166666666666666
6,23.5,3.1041666666666665,0.303422619047619,0.84375,0.07465277777777778,0.08159722222222222,1.6666666666666667,2.25,1.4166666666666667,0.16319444444444445,0.3802083333333333,0.45659722222222227,1.1875,0.6666666666666666,1.2083333333333333,1.0833333333333333,0.5416666666666666,0.6041666666666666,0.16666666666666666,0.7708333333333334
7,23.5,2.75,0.3789847883597883,0.8940972222222222,0.057291666666666664,0.048611111111111105,1.5416666666666667,1.9791666666666667,1.125,0.2065972222222222,0.4114583333333333,0.3819444444444444,0.9375,0.625,1.125,0.4375,0.3958333333333333,0.7916666666666666,0.2916666666666667,0.8125
8,23.5,2.6875,0.3220982142857143,0.859375,0.078125,0.0625,1.3125,1.875,1.3333333333333333,0.0642361111111111,0.3645833333333333,0.5711805555555556,1.1041666666666667,0.6875,0.9791666666666666,0.8125,0.4375,0.8541666666666666,0.16666666666666666,0.7083333333333334
9,23.5,2.8541666666666665,0.40987103174603173,0.8819444444444445,0.06770833333333333,0.05034722222222222,1.8333333333333333,1.6666666666666667,0.9375,0.08333333333333333,0.453125,0.4635416666666667,0.9791666666666666,0.4791666666666667,1.0833333333333333,0.8958333333333334,0.5625,0.4166666666666667,0.22916666666666666,0.9166666666666666
