trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars
0,23.5,5.1875,0.3319990773115773,0.9513888888888888,0.029513888888888885,0.01909722222222222,2.7291666666666665,3.4791666666666665,2.3541666666666665,0.4947916666666667,0.3541666666666667,0.15104166666666666
1,23.5,5.1875,0.3718244718244718,0.9288194444444445,0.036458333333333336,0.03472222222222222,2.875,3.3541666666666665,2.2291666666666665,0.4444444444444444,0.3836805555555556,0.171875
2,23.5,5.1875,0.3257594835719836,0.9340277777777778,0.03125,0.03472222222222222,2.6458333333333335,3.6041666666666665,2.4166666666666665,0.4149305555555556,0.3680555555555556,0.21701388888888887
3,23.5,5.1875,0.32467264999434114,0.9288194444444445,0.03472222222222222,0.036458333333333336,2.625,3.3541666666666665,2.4166666666666665,0.44097222222222227,0.3211805555555555,0.2378472222222222
4,23.5,5.1875,0.37264050968095086,0.9322916666666666,0.027777777777777776,0.03993055555555555,2.875,3.3125,2.1666666666666665,0.453125,0.34722222222222227,0.1996527777777778
5,23.5,5.1875,0.34110741348792817,0.9565972222222222,0.024305555555555552,0.01909722222222222,2.6458333333333335,3.625,2.3958333333333335,0.517361111111111,0.3211805555555555,0.16145833333333334
6,23.5,5.1875,0.359308688996189,0.9392361111111112,0.03298611111111111,0.027777777777777776,2.9166666666666665,3.4375,2.125,0.4947916666666667,0.3315972222222222,0.17361111111111113
7,23.5,5.1875,0.35893667878962,0.9427083333333334,0.03125,0.026041666666666668,2.7291666666666665,3.4583333333333335,2.2916666666666665,0.4583333333333333,0.34722222222222227,0.19444444444444445
8,23.5,5.1875,0.3413585189320483,0.9444444444444445,0.03298611111111111,0.022569444444444444,2.6666666666666665,3.4791666666666665,2.4166666666666665,0.47222222222222227,0.3385416666666667,0.18923611111111113
9,23.5,5.1875,0.2837894166019166,0.9427083333333334,0.03125,0.026041666666666668,2.4375,3.7708333333333335,2.5833333333333335,0.5052083333333334,0.3020833333333333,0.19270833333333334
