trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars
0,23.5,4.583333333333333,0.2613082519332519,0.8732638888888888,0.04513888888888889,0.08159722222222222,2.1875,3.7083333333333335,2.2916666666666665,0.529513888888889,0.359375,0.1111111111111111
1,23.5,4.583333333333333,0.2236058501683502,0.8628472222222222,0.05034722222222222,0.08680555555555554,1.9375,3.8125,2.5416666666666665,0.5555555555555556,0.3211805555555555,0.12326388888888888
2,23.5,4.583333333333333,0.24287518037518038,0.8697916666666666,0.052083333333333336,0.078125,2.0416666666666665,3.625,2.4375,0.5590277777777778,0.3333333333333333,0.1076388888888889
3,23.5,4.583333333333333,0.23407055907055907,0.9114583333333334,0.046875,0.041666666666666664,1.9791666666666667,3.7708333333333335,2.5416666666666665,0.579861111111111,0.2934027777777778,0.1267361111111111
4,23.5,4.583333333333333,0.2312463289025789,0.8767361111111112,0.046875,0.07638888888888888,1.9166666666666667,3.7291666666666665,2.5416666666666665,0.6059027777777778,0.3350694444444444,0.05902777777777777
5,23.5,4.583333333333333,0.25330537518037516,0.8767361111111112,0.04513888888888889,0.07812499999999999,2.1666666666666665,3.6875,2.3541666666666665,0.6059027777777778,0.3107638888888889,0.08333333333333333
6,23.5,4.583333333333333,0.2691267066267066,0.9166666666666666,0.04340277777777777,0.03993055555555555,2.25,3.5208333333333335,2.25,0.4461805555555556,0.421875,0.13194444444444445
7,23.5,4.583333333333333,0.24695241101491103,0.8836805555555555,0.05381944444444444,0.0625,2.1666666666666665,3.8333333333333335,2.3125,0.517361111111111,0.3333333333333333,0.14930555555555555
8,23.5,4.583333333333333,0.2178789381914382,0.8871527777777778,0.04513888888888889,0.06770833333333333,1.8333333333333333,3.8541666666666665,2.625,0.6024305555555556,0.2986111111111111,0.09895833333333333
9,23.5,4.583333333333333,0.25955011423761426,0.8888888888888888,0.04513888888888889,0.06597222222222222,2.0416666666666665,3.625,2.4375,0.6041666666666666,0.3350694444444444,0.06076388888888889
