t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
24,3.6,0.0,0.0,0.0,0.25,0.75,0.0,3.6,1.1,0.0,0.0,1.0,0.8,3.0,0.0,0.2,3.0,0.0,1.8,2.0,2.0,0.8,3.0,1.0,4.5
25,3.2,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,3.2,3.6,0.0,0.0,1.0,0.4,3.0,0.0,0.3,3.0,0.0,1.7,3.0,0.0,0.8,3.0,1.0,4.5
26,4.6,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.6,3.2,0.0,0.0,1.0,1.6,3.0,0.0,0.2,3.0,0.0,2.3,2.0,1.0,0.5,3.0,0.0,4.5
27,3.3,0.0,0.0,0.0,0.0,1.0,0.0,3.3,4.6,0.0,0.0,1.0,0.7,3.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.6,3.0,0.0,4.5
28,4.2,0.0,0.0,0.0,0.0,1.0,0.0,4.2,3.3,0.0,0.0,1.0,0.9,3.0,0.0,0.4,3.0,0.0,1.7,3.0,0.0,1.2,3.0,0.0,4.5
29,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.2,0.0,0.0,1.0,0.3,3.0,0.0,0.3,3.0,0.0,1.6,3.0,0.0,0.8,3.0,0.0,4.5
30,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,1.3,3.0,0.0,0.2,3.0,0.0,1.9,3.0,0.0,1.6,3.0,0.0,4.5
31,3.4,0.0,0.0,0.0,0.0,1.0,0.0,3.4,5.0,0.0,0.0,1.0,0.9,3.0,0.0,0.4,3.0,0.0,1.2,3.0,0.0,0.9,3.0,0.0,4.5
32,4.5,0.0,0.0,0.0,0.0,1.0,0.0,4.5,3.4,0.0,0.0,1.0,0.8,3.0,0.0,0.6,3.0,0.0,2.0,3.0,0.0,1.1,3.0,0.0,4.5
33,4.4,0.0,0.0,0.0,0.0,1.0,0.0,4.4,4.5,0.0,0.0,1.0,0.8,3.0,0.0,0.6,3.0,0.0,2.1,3.0,0.0,0.9,3.0,0.0,4.5
34,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.4,0.0,0.0,1.0,0.5,3.0,0.0,1.1,3.0,0.0,2.0,3.0,0.0,1.4,3.0,0.0,4.5
35,4.3,0.0,0.0,0.0,0.0,1.0,0.0,4.3,5.0,0.0,0.0,1.0,0.3,3.0,0.0,0.5,3.0,0.0,2.5,3.0,0.0,1.0,3.0,0.0,4.5
36,3.7,0.0,0.0,0.0,0.0,1.0,0.0,3.7,4.3,0.0,0.0,1.0,0.6,3.0,0.0,0.5,3.0,0.0,1.9,3.0,0.0,0.7,3.0,0.0,4.5
37,2.7,0.0,0.0,0.0,0.0,1.0,0.0,2.7,3.7,0.0,0.0,1.0,0.3,3.0,0.0,0.6,3.0,0.0,1.0,3.0,0.0,0.8,3.0,0.0,4.5
38,3.8,0.0,0.0,0.0,0.0,1.0,0.0,3.8,2.7,0.0,0.0,1.0,0.5,3.0,0.0,0.5,3.0,0.0,1.7,3.0,0.0,1.1,3.0,0.0,4.5
39,3.8,0.0,0.0,0.0,0.0,1.0,0.0,3.8,3.8,0.0,0.0,1.0,0.4,3.0,0.0,0.2,3.0,0.0,1.6,3.0,0.0,1.6,3.0,0.0,4.5
40,3.1,0.0,0.0,0.0,0.0,1.0,0.0,3.1,3.8,0.0,0.0,1.0,0.7,3.0,0.0,0.9,3.0,0.0,0.7,3.0,0.0,0.8,3.0,0.0,4.5
41,2.1,0.0,0.0,0.0,0.0,1.0,0.0,2.1,3.1,0.0,0.0,1.0,0.3,3.0,0.0,0.4,3.0,0.0,1.0,3.0,0.0,0.4,3.0,0.0,4.5
42,2.8,0.0,0.0,0.0,0.0,1.0,0.0,2.8,2.1,0.0,0.0,1.0,0.8,3.0,0.0,0.3,3.0,0.0,0.9,3.0,0.0,0.8,3.0,0.0,4.5
43,2.8,0.0,0.0,0.0,0.0,1.0,0.0,2.8,2.8,0.0,0.0,1.0,0.5,3.0,0.0,1.0,3.0,0.0,0.8,3.0,0.0,0.5,3.0,0.0,4.5
44,4.3,0.0,0.0,0.0,0.0,1.0,0.0,4.3,2.8,0.0,0.0,1.0,1.4,3.0,0.0,0.9,3.0,0.0,0.9,3.0,0.0,1.1,3.0,0.0,4.5
45,4.6,0.0,0.0,0.0,0.0,1.0,0.0,4.6,4.3,0.0,0.0,1.0,1.5,3.0,0.0,1.8,3.0,0.0,0.8,3.0,0.0,0.5,3.0,0.0,4.5
46,3.5,0.0,0.0,0.0,0.0,1.0,0.0,3.5,4.6,0.0,0.0,1.0,1.1,3.0,0.0,1.1,3.0,0.0,0.9,3.0,0.0,0.4,3.0,0.0,4.5
47,2.9,0.0,0.0,0.0,0.0,1.0,0.0,2.9,3.5,0.0,0.0,1.0,0.9,3.0,0.0,0.8,3.0,0.0,0.8,3.0,0.0,0.4,3.0,0.0,4.5
48,3.9,0.0,0.0,0.0,0.25,0.75,0.0,3.9,2.9,0.0,0.0,1.0,1.7,3.0,1.0,1.2,3.0,1.0,0.9,3.0,0.0,0.1,3.0,1.0,4.5
49,3.3,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,3.3,3.9,0.0,0.0,1.0,0.8,3.0,1.0,1.4,3.0,1.0,0.9,3.0,0.0,0.2,3.0,0.0,4.5
50,3.5,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,3.5,3.3,0.0,0.0,1.0,1.5,3.0,1.0,1.3,3.0,0.0,0.4,3.0,0.0,0.3,3.0,0.0,4.5
51,3.7,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,3.7,3.5,0.0,0.0,1.0,0.9,3.0,0.0,1.7,3.0,1.0,0.9,3.0,0.0,0.2,3.0,0.0,4.5
52,4.4,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.4,3.7,0.0,0.0,1.0,0.7,3.0,0.0,2.3,3.0,1.0,1.0,3.0,0.0,0.4,3.0,0.0,4.5
53,4.4,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.4,4.4,0.0,0.0,1.0,0.4,3.0,0.0,2.1,3.0,1.0,1.5,3.0,0.0,0.4,3.0,0.0,4.5
54,4.1,0.0,0.0,0.0,0.0,1.0,0.0,4.1,4.4,0.0,0.0,1.0,0.6,3.0,0.0,2.3,3.0,0.0,0.8,3.0,0.0,0.4,3.0,0.0,4.5
55,4.8,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,4.8,4.1,0.0,0.0,1.0,0.7,3.0,0.0,2.4,3.0,2.0,1.2,3.0,0.0,0.5,3.0,0.0,4.5
56,3.9,0.0,0.0,0.0,0.0,1.0,0.0,3.9,4.8,0.0,0.0,1.0,1.0,3.0,0.0,1.2,3.0,0.0,1.4,3.0,0.0,0.3,3.0,0.0,4.5
57,4.4,0.0,0.0,0.0,0.0,1.0,0.0,4.4,3.9,0.0,0.0,1.0,1.6,3.0,0.0,1.7,3.0,0.0,1.0,3.0,0.0,0.1,3.0,0.0,4.5
58,3.8,0.0,0.0,0.0,0.0,1.0,0.0,3.8,4.4,0.0,0.0,1.0,1.0,3.0,0.0,1.9,3.0,0.0,0.7,3.0,0.0,0.2,3.0,0.0,4.5
59,4.1,0.0,0.0,0.0,0.0,1.0,0.0,4.1,3.8,0.0,0.0,1.0,1.6,3.0,0.0,1.5,3.0,0.0,0.6,3.0,0.0,0.4,3.0,0.0,4.5
60,4.1,0.0,0.0,0.0,0.0,1.0,0.0,4.1,4.1,0.0,0.0,1.0,1.1,3.0,0.0,1.5,3.0,0.0,1.2,3.0,0.0,0.3,3.0,0.0,4.5
61,5.1,0.0,0.0,0.0,0.0,1.0,0.0,5.1,4.1,0.0,0.0,1.0,1.2,3.0,0.0,2.3,3.0,0.0,1.1,3.0,0.0,0.5,3.0,0.0,4.5
62,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.1,0.0,0.0,1.0,1.1,3.0,0.0,2.6,3.0,0.0,1.1,3.0,0.0,0.2,3.0,0.0,4.5
63,5.0,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,5.0,5.0,0.0,0.0,1.0,1.3,3.0,1.0,2.1,3.0,0.0,1.3,3.0,0.0,0.3,3.0,0.0,4.5
