trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_trip_requests_1,num_cars_region_1,num_trip_requests_2,num_cars_region_2,num_trip_requests_3,num_cars_region_3
0,23.5,2.9166666666666665,0.46864252645502646,0.8454861111111112,0.041666666666666664,0.11284722222222221,2.0,1.6666666666666667,0.875,0.34027777777777773,0.3159722222222222,0.34375,1.0833333333333333,0.625,1.3333333333333333,1.0,0.3333333333333333,0.875,0.16666666666666666,0.375
1,23.5,2.9166666666666665,0.40757275132275134,0.8420138888888888,0.06076388888888889,0.09722222222222221,1.9375,1.7708333333333333,0.9375,0.18923611111111108,0.3420138888888889,0.46875,1.0833333333333333,1.125,1.3333333333333333,0.7291666666666666,0.3333333333333333,0.7083333333333334,0.16666666666666666,0.5
2,23.5,2.9166666666666665,0.4237681878306878,0.8663194444444445,0.04340277777777777,0.09027777777777778,1.875,1.8541666666666667,1.0,0.296875,0.3506944444444444,0.3524305555555556,1.0833333333333333,0.8958333333333334,1.3333333333333333,0.8958333333333334,0.3333333333333333,0.75,0.16666666666666666,0.4375
3,23.5,2.9166666666666665,0.36829530423280427,0.8645833333333334,0.03819444444444444,0.09722222222222221,1.6875,2.125,1.1875,0.3055555555555555,0.3697916666666667,0.3246527777777778,1.0833333333333333,0.9375,1.3333333333333333,0.8541666666666666,0.3333333333333333,0.8125,0.16666666666666666,0.1875
4,23.5,2.9166666666666665,0.4577380952380952,0.8333333333333334,0.046875,0.11979166666666667,2.0,1.875,0.875,0.2829861111111111,0.328125,0.3888888888888889,1.0833333333333333,1.0,1.3333333333333333,1.4791666666666667,0.3333333333333333,0.5416666666666666,0.16666666666666666,0.20833333333333334
5,23.5,2.9166666666666665,0.4105076058201058,0.8802083333333334,0.03819444444444444,0.08159722222222222,1.6875,1.875,1.1875,0.3003472222222222,0.359375,0.34027777777777773,1.0833333333333333,0.6875,1.3333333333333333,0.6875,0.3333333333333333,0.9583333333333334,0.16666666666666666,0.3541666666666667
6,23.5,2.9166666666666665,0.4706349206349206,0.8888888888888888,0.05034722222222222,0.06076388888888889,2.1875,1.625,0.6875,0.24131944444444445,0.39409722222222227,0.3645833333333333,1.0833333333333333,0.9166666666666666,1.3333333333333333,0.7083333333333334,0.3333333333333333,0.75,0.16666666666666666,0.4375
7,23.5,2.9166666666666665,0.47617394179894174,0.890625,0.046875,0.0625,2.0208333333333335,1.7083333333333333,0.875,0.2378472222222222,0.4131944444444444,0.3489583333333333,1.0833333333333333,0.75,1.3333333333333333,0.75,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3541666666666667
8,23.5,2.9166666666666665,0.3531084656084656,0.8819444444444445,0.05381944444444445,0.0642361111111111,1.625,1.9791666666666667,1.2083333333333333,0.1840277777777778,0.34375,0.47222222222222227,1.0833333333333333,0.8125,1.3333333333333333,1.2083333333333333,0.3333333333333333,0.4791666666666667,0.16666666666666666,0.3125
9,23.5,2.9166666666666665,0.41866732804232804,0.875,0.041666666666666664,0.08333333333333333,1.9583333333333333,1.9375,0.8958333333333334,0.2621527777777778,0.3680555555555556,0.3697916666666667,1.0833333333333333,0.875,1.3333333333333333,0.6458333333333334,0.3333333333333333,0.7291666666666666,0.16666666666666666,0.5416666666666666
