trial,t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_trip_requests_1,num_cars_region_1,num_trip_requests_2,num_cars_region_2,num_trip_requests_3,num_cars_region_3
0,23.5,2.6875,0.2984457671957672,0.7951388888888888,0.03125,0.17361111111111113,1.3333333333333333,2.0,1.2916666666666667,0.328125,0.2934027777777778,0.37847222222222227,0.9375,1.1041666666666667,0.9375,1.1458333333333333,0.6041666666666666,0.5208333333333334,0.20833333333333334,1.4375
1,23.5,3.0,0.3691408128908129,0.8368055555555555,0.041666666666666664,0.12152777777777778,1.8541666666666667,2.125,1.1041666666666667,0.19270833333333334,0.4288194444444444,0.37847222222222227,1.1666666666666667,1.1041666666666667,1.0208333333333333,1.0208333333333333,0.5833333333333334,0.625,0.22916666666666666,0.7916666666666666
2,23.5,2.9375,0.2830522486772487,0.8055555555555555,0.046875,0.14756944444444445,1.3333333333333333,2.2916666666666665,1.5416666666666667,0.2725694444444445,0.3576388888888889,0.3697916666666667,1.0625,1.2083333333333333,1.1666666666666667,1.0625,0.4583333333333333,1.0208333333333333,0.25,0.625
3,23.5,2.7916666666666665,0.28595628908128906,0.8020833333333334,0.026041666666666668,0.171875,1.3958333333333333,1.9583333333333333,1.3541666666666667,0.36284722222222227,0.359375,0.27777777777777773,1.0416666666666667,1.5208333333333333,1.1666666666666667,0.75,0.3541666666666667,0.9166666666666666,0.22916666666666666,0.4375
4,23.5,3.2083333333333335,0.26930534743034745,0.7847222222222222,0.022569444444444444,0.19270833333333334,1.5,2.4791666666666665,1.6458333333333333,0.35590277777777773,0.3211805555555555,0.3229166666666667,1.2291666666666667,0.8541666666666666,1.2708333333333333,1.1458333333333333,0.3958333333333333,1.625,0.3125,0.5416666666666666
5,23.5,3.2083333333333335,0.2752577861952862,0.7743055555555555,0.03819444444444444,0.1875,1.5416666666666667,2.3958333333333335,1.6041666666666667,0.3663194444444444,0.3107638888888889,0.3229166666666667,1.3333333333333333,1.0,0.9583333333333334,1.3958333333333333,0.6041666666666666,0.5,0.3125,1.4375
6,23.5,3.1041666666666665,0.2968501984126984,0.7916666666666666,0.03819444444444444,0.17013888888888887,1.5,2.25,1.5625,0.2708333333333333,0.3263888888888889,0.40277777777777773,1.3125,1.0208333333333333,1.2708333333333333,1.0416666666666667,0.3958333333333333,1.0625,0.125,0.8125
7,23.5,2.8958333333333335,0.3617401695526696,0.7899305555555555,0.04340277777777777,0.16666666666666666,1.4583333333333333,2.1458333333333335,1.3541666666666667,0.34027777777777773,0.2864583333333333,0.3732638888888889,1.1666666666666667,1.0208333333333333,1.2083333333333333,1.3541666666666667,0.3541666666666667,0.7708333333333334,0.16666666666666666,1.0416666666666667
8,23.5,2.6041666666666665,0.3658482142857143,0.7708333333333334,0.029513888888888885,0.1996527777777778,1.4791666666666667,1.7083333333333333,1.0625,0.3923611111111111,0.3055555555555555,0.3020833333333333,1.0416666666666667,1.8333333333333333,0.9791666666666666,0.875,0.3541666666666667,0.5,0.22916666666666666,1.1458333333333333
9,23.5,3.0625,0.30814469095719094,0.7430555555555555,0.026041666666666668,0.2309027777777778,1.4375,2.1875,1.5833333333333333,0.4444444444444444,0.265625,0.2899305555555555,1.1666666666666667,2.0,1.1666666666666667,1.25,0.4791666666666667,1.125,0.25,0.6458333333333334
