T	Origin	Destination	Count
0	0	0	1.999265723903341
0	2	2	2.6315121494112352
0	3	0	0.6219937807699283
0	3	1	0.6219937807699283
0	2	1	0.9612631157353437
0	3	2	0.6219937807699283
0	3	3	0.7774922259624104
0	2	0	0.6219937807699283
0	1	3	1.5267120073443694
0	1	2	6.800465336417883
0	1	1	1.3476531916681778
0	1	0	0.6219937807699283
0	0	3	1.2439875615398566
0	0	2	3.0270363997469842
0	0	1	1.6171838300018135
0	2	3	1.2439875615398566
1	0	2	3.0270363997469842
1	2	2	2.6315121494112352
1	2	0	0.6219937807699283
1	3	3	0.7774922259624104
1	1	3	1.5267120073443694
1	3	2	0.6219937807699283
1	2	3	1.2439875615398566
1	2	1	0.9612631157353437
1	1	1	1.3476531916681778
1	3	0	0.6219937807699283
1	0	0	1.999265723903341
1	1	2	6.800465336417883
1	0	1	1.6171838300018135
1	1	0	0.6219937807699283
1	0	3	1.2439875615398566
1	3	1	0.6219937807699283
2	3	3	0.9329906711548924
2	3	0	0.6219937807699283
2	2	0	0.6219937807699283
2	1	2	4.531668974180906
2	1	3	1.3683863176938422
2	0	2	1.3570773398616616
2	0	1	1.1748771414543089
2	0	3	0.6997430033661693
2	2	1	0.9329906711548924
2	2	3	0.9774187983527445
2	0	0	2.043693851101193
2	2	2	2.2009010704166694
2	1	1	1.0884891163473744
3	2	0	0.6219937807699283
3	0	2	1.3570773398616616
3	1	3	1.3683863176938422
3	3	3	0.9329906711548924
3	2	2	2.2009010704166694
3	0	0	2.043693851101193
3	1	2	4.531668974180906
3	2	3	0.9774187983527445
3	0	3	0.6997430033661693
3	1	1	1.0884891163473744
3	0	1	1.1748771414543089
3	3	0	0.6219937807699283
3	2	1	0.9329906711548924
4	3	3	0.6219937807699283
4	1	2	2.6953063833363555
4	1	3	0.7463925369239139
4	2	0	0.6219937807699283
4	3	1	0.6219937807699283
4	0	3	0.7774922259624104
4	1	1	0.7997062895613364
4	2	1	0.6219937807699283
4	1	0	0.6219937807699283
4	3	2	0.6219937807699283
4	0	2	0.8885625439570404
4	0	0	3.1543970310474934
4	2	3	0.7463925369239139
4	0	1	0.6219937807699283
4	2	2	1.7771250879140807
4	3	0	0.6219937807699283
5	1	2	2.6953063833363555
5	2	3	0.7463925369239139
5	3	3	0.6219937807699283
5	1	3	0.7463925369239139
5	2	1	0.6219937807699283
5	1	1	0.7997062895613364
5	3	0	0.6219937807699283
5	1	0	0.6219937807699283
5	0	0	3.1543970310474934
5	0	3	0.7774922259624104
5	3	2	0.6219937807699283
5	3	1	0.6219937807699283
5	0	1	0.6219937807699283
5	0	2	0.8885625439570404
5	2	0	0.6219937807699283
5	2	2	1.7771250879140807
6	0	1	0.6219937807699283
6	1	1	0.7774922259624104
6	2	2	1.119588805385871
6	2	3	0.829325041026571
6	3	3	1.036656301283214
6	1	2	1.5789072896467409
6	1	3	0.829325041026571
6	2	0	0.9951900492318853
6	2	1	1.2439875615398566
6	1	0	0.7774922259624104
6	0	0	6.468735320007254
6	0	3	0.6219937807699283
6	0	2	0.7463925369239139
6	3	0	1.0662750527484484
7	2	0	0.9951900492318853
7	1	0	0.7774922259624104
7	0	0	6.468735320007254
7	3	3	1.036656301283214
7	0	3	0.6219937807699283
7	1	1	0.7774922259624104
7	1	3	0.829325041026571
7	3	0	1.0662750527484484
7	2	2	1.119588805385871
7	1	2	1.5789072896467409
7	0	1	0.6219937807699283
7	0	2	0.7463925369239139
7	2	1	1.2439875615398566
7	2	3	0.829325041026571
8	2	2	0.6219937807699283
8	1	2	1.074352894057149
8	0	0	7.298060361033825
8	1	3	0.6219937807699283
8	2	1	0.6219937807699283
8	3	1	0.6219937807699283
8	0	1	0.7463925369239139
