T	Origin	Destination	Count
0	0	0	0.05968961400716275
0	10	2	0.06499535747446611
0	10	1	0.06066233364283503
0	10	0	0.02166511915815537
0	9	10	0.8393686165273909
0	9	9	1.034973692355308
0	9	8	0.5360569483132157
0	9	7	0.20550913030021664
0	9	6	0.393686165273909
0	9	5	0.344165892912411
0	9	4	1.0151655834107087
0	2	5	0.028886825544207156
0	9	3	0.09408851748684617
0	9	2	0.20427112349117918
0	9	1	0.2575054162797895
0	9	0	0.018570102135561744
0	8	10	0.15351284432064377
0	8	9	0.2872175796966883
0	8	8	1.3902816465490557
0	8	7	0.16960693283813058
0	8	6	0.06932838130609718
0	8	5	0.06713806156703092
0	8	4	0.13122872175796965
0	8	3	0.22655524605385327
0	8	2	0.20674713710925408
0	8	1	0.2971216341689879
0	10	3	0.15227483751160628
0	8	0	0.03095017022593624
0	10	4	1.1104921077065921
0	10	6	0.6313834726090993
0	0	7	0.048282265552460533
0	0	8	0.11389662643144537
0	0	9	0.30826369545032495
0	0	10	0.45434849891674395
0	1	0	0.018570102135561744
0	1	1	0.12380068090374496
0	1	2	0.04642525533890436
0	1	3	0.026528717336516777
0	1	4	0.042204777580822146
0	2	10	0.03714020427112349
0	1	5	0.02599814298978644
0	1	6	0.03714020427112349
0	1	7	0.20550913030021664
0	1	8	0.2079851439182915
0	1	9	0.08418446301454657
0	1	10	0.0350768595893944
0	2	0	0.018570102135561744
0	2	1	0.07923243577839677
0	2	2	0.07056638811513462
0	2	3	0.04085422469823584
0	2	4	0.04428255124633954
0	10	10	1.4199938099659548
0	10	9	0.8282265552460538
0	10	8	0.34787991333952334
0	10	7	0.06190034045187248
0	10	5	0.5447229959764778
0	0	6	0.32807180439492417
0	7	10	0.03946146703806871
0	7	8	0.159702878365831
0	5	2	0.08666047663262148
0	5	1	0.08913649025069637
0	5	0	0.025533890436397397
0	4	10	3.1222531723924476
0	4	9	2.5292479108635093
0	4	8	0.6648096564531104
0	4	7	0.21788919839059112
0	4	6	2.493345713401424
0	4	5	2.3051686784277314
0	4	4	4.211699164345403
0	4	3	0.18446301454657998
0	4	2	0.2649334571340142
0	4	1	0.14360878984834416
0	4	0	0.03714020427112349
0	3	10	0.11637264004952026
0	3	9	0.09161250386877128
0	3	8	0.19808108944599193
0	3	7	0.028886825544207156
0	3	6	0.027855153203342614
0	3	5	0.04244594773842684
0	3	4	0.03714020427112349
0	3	3	0.047044258743423086
0	3	2	0.03528319405756731
0	2	8	0.23026926648096563
0	3	1	0.021946484342027516
0	2	7	0.06632179334129194
0	7	9	0.06366892160764026
0	5	3	0.07675642216032189
0	5	5	2.3571649644073043
0	7	7	0.3416898792943361
0	7	6	0.03714020427112349
0	7	5	0.02321262766945218
0	7	4	0.03142632669095064
0	7	3	0.027855153203342614
0	2	6	0.018570102135561744
0	7	2	0.038828395374356374
0	7	1	0.17332095326524297
0	7	0	0.018570102135561744
0	6	10	1.4497059733828535
0	6	9	0.971835345094398
0	6	8	0.3317858248220365
0	6	7	0.07560684440907281
0	6	6	1.4719900959455277
0	6	5	2.093469514082327
0	6	4	2.368307025688641
0	6	3	0.09152407481098289
0	6	2	0.08170844939647168
0	6	1	0.08542246982358402
0	6	0	0.02321262766945218
0	5	10	1.1847725162488392
0	5	9	0.8406066233364282
0	5	8	0.23398328690807796
0	5	7	0.07958615200955033
0	5	6	1.8248220365212007
0	5	4	1.8446301454657998
0	0	5	0.4097802537913958
0	2	9	0.15846487155679354
0	0	1	0.034283265481037065
0	0	2	0.0385686736661667
0	0	3	0.03714020427112349
0	0	4	0.6004333023831631
1	10	10	1.4199938099659548
1	7	0	0.018570102135561744
1	7	1	0.17332095326524297
1	7	2	0.038828395374356374
1	7	3	0.027855153203342614
1	7	4	0.03142632669095064
1	7	6	0.03714020427112349
1	6	10	1.4497059733828535
1	7	7	0.3416898792943361
1	7	8	0.159702878365831
1	7	9	0.06366892160764026
1	8	0	0.03095017022593624
1	7	5	0.02321262766945218
1	6	9	0.971835345094398
1	6	7	0.07560684440907281
1	8	1	0.2971216341689879
1	6	6	1.4719900959455277
1	6	5	2.093469514082327
1	6	4	2.368307025688641
1	6	3	0.09152407481098289
1	6	2	0.08170844939647168
1	6	1	0.08542246982358402
1	6	0	0.02321262766945218
1	5	10	1.1847725162488392
1	5	9	0.8406066233364282
1	5	8	0.23398328690807796
1	5	7	0.07958615200955033
1	6	8	0.3317858248220365
1	8	2	0.20674713710925408
1	8	4	0.13122872175796965
1	5	6	1.8248220365212007
1	10	9	0.8282265552460538
1	10	8	0.34787991333952334
1	10	7	0.06190034045187248
1	10	6	0.6313834726090993
1	10	5	0.5447229959764778
1	10	4	1.1104921077065921
1	10	3	0.15227483751160628
1	10	2	0.06499535747446611
1	10	1	0.06066233364283503
1	10	0	0.02166511915815537
1	9	10	0.8393686165273909
1	9	9	1.034973692355308
1	9	8	0.5360569483132157
1	9	7	0.20550913030021664
1	9	6	0.393686165273909
1	9	5	0.344165892912411
1	9	4	1.0151655834107087
1	9	3	0.09408851748684617
1	9	2	0.20427112349117918
1	9	1	0.2575054162797895
1	9	0	0.018570102135561744
1	8	10	0.15351284432064377
1	8	9	0.2872175796966883
1	8	8	1.3902816465490557
1	8	7	0.16960693283813058
1	8	6	0.06932838130609718
1	8	5	0.06713806156703092
1	8	3	0.22655524605385327
1	5	5	2.3571649644073043
1	7	10	0.03946146703806871
1	5	3	0.07675642216032189
1	2	4	0.04428255124633954
1	2	3	0.04085422469823584
1	2	2	0.07056638811513462
1	2	1	0.07923243577839677
1	2	0	0.018570102135561744
1	1	10	0.0350768595893944
1	1	9	0.08418446301454657
1	1	8	0.2079851439182915
1	1	7	0.20550913030021664
1	1	6	0.03714020427112349
1	1	5	0.02599814298978644
1	1	3	0.026528717336516777
1	1	2	0.04642525533890436
1	1	1	0.12380068090374496
1	1	0	0.018570102135561744
1	0	10	0.45434849891674395
1	0	9	0.30826369545032495
1	0	8	0.11389662643144537
1	0	7	0.048282265552460533
1	0	6	0.32807180439492417
1	0	5	0.4097802537913958
1	0	4	0.6004333023831631
1	0	3	0.03714020427112349
1	0	2	0.0385686736661667
1	0	1	0.034283265481037065
1	0	0	0.05968961400716275
1	5	4	1.8446301454657998
1	2	5	0.028886825544207156
1	2	6	0.018570102135561744
1	1	4	0.042204777580822146
1	2	8	0.23026926648096563
1	2	7	0.06632179334129194
1	5	1	0.08913649025069637
1	5	0	0.025533890436397397
1	4	10	3.1222531723924476
1	4	9	2.5292479108635093
1	4	8	0.6648096564531104
1	4	7	0.21788919839059112
1	4	6	2.493345713401424
1	4	5	2.3051686784277314
1	4	4	4.211699164345403
1	4	3	0.18446301454657998
1	4	2	0.2649334571340142
1	4	1	0.14360878984834416
1	4	0	0.03714020427112349
1	5	2	0.08666047663262148
1	3	9	0.09161250386877128
1	3	10	0.11637264004952026
1	2	10	0.03714020427112349
1	3	1	0.021946484342027516
1	3	2	0.03528319405756731
1	3	3	0.047044258743423086
1	2	9	0.15846487155679354
1	3	5	0.04244594773842684
1	3	6	0.027855153203342614
1	3	7	0.028886825544207156
1	3	8	0.19808108944599193
1	3	4	0.03714020427112349
2	7	2	0.038828395374356374
2	7	3	0.027855153203342614
2	8	1	0.2971216341689879
2	7	4	0.03142632669095064
2	7	5	0.02321262766945218
2	7	8	0.159702878365831
2	7	7	0.3416898792943361
2	7	9	0.06366892160764026
2	7	10	0.03946146703806871
2	7	1	0.17332095326524297
2	8	0	0.03095017022593624
2	7	6	0.03714020427112349
2	6	10	1.4497059733828535
2	6	4	2.368307025688641
2	6	8	0.3317858248220365
2	6	7	0.07560684440907281
2	6	6	1.4719900959455277
2	6	5	2.093469514082327
2	6	3	0.09152407481098289
2	6	2	0.08170844939647168
2	6	1	0.08542246982358402
2	6	0	0.02321262766945218
2	5	10	1.1847725162488392
2	5	9	0.8406066233364282
2	5	8	0.23398328690807796
2	5	7	0.07958615200955033
2	8	2	0.20674713710925408
2	6	9	0.971835345094398
2	8	3	0.22655524605385327
2	10	10	1.4199938099659548
2	8	5	0.06713806156703092
2	5	6	1.8248220365212007
2	10	9	0.8282265552460538
2	10	8	0.34787991333952334
2	10	7	0.06190034045187248
2	10	6	0.6313834726090993
2	10	5	0.5447229959764778
2	10	4	1.1104921077065921
2	10	3	0.15227483751160628
2	10	2	0.06499535747446611
2	10	1	0.06066233364283503
2	10	0	0.02166511915815537
2	9	10	0.8393686165273909
2	9	9	1.034973692355308
2	9	8	0.5360569483132157
2	9	7	0.20550913030021664
2	9	6	0.393686165273909
2	9	5	0.344165892912411
2	9	4	1.0151655834107087
2	9	3	0.09408851748684617
2	9	2	0.20427112349117918
2	9	1	0.2575054162797895
2	9	0	0.018570102135561744
2	8	10	0.15351284432064377
2	8	9	0.2872175796966883
2	8	8	1.3902816465490557
2	8	7	0.16960693283813058
2	8	6	0.06932838130609718
2	8	4	0.13122872175796965
2	5	5	2.3571649644073043
2	7	0	0.018570102135561744
2	5	3	0.07675642216032189
2	2	3	0.04085422469823584
2	2	2	0.07056638811513462
2	2	1	0.07923243577839677
2	2	0	0.018570102135561744
2	1	10	0.0350768595893944
2	1	9	0.08418446301454657
2	1	8	0.2079851439182915
2	1	7	0.20550913030021664
2	1	6	0.03714020427112349
2	1	5	0.02599814298978644
2	1	4	0.042204777580822146
2	1	3	0.026528717336516777
2	5	4	1.8446301454657998
2	1	2	0.04642525533890436
2	1	0	0.018570102135561744
2	0	10	0.45434849891674395
2	0	9	0.30826369545032495
2	0	8	0.11389662643144537
2	0	7	0.048282265552460533
2	0	6	0.32807180439492417
2	0	5	0.4097802537913958
2	0	4	0.6004333023831631
2	0	3	0.03714020427112349
2	0	2	0.0385686736661667
2	0	1	0.034283265481037065
2	0	0	0.05968961400716275
2	1	1	0.12380068090374496
2	2	5	0.028886825544207156
2	2	4	0.04428255124633954
2	2	7	0.06632179334129194
2	5	2	0.08666047663262148
2	5	1	0.08913649025069637
2	5	0	0.025533890436397397
2	4	10	3.1222531723924476
2	4	9	2.5292479108635093
2	4	8	0.6648096564531104
2	4	7	0.21788919839059112
2	4	6	2.493345713401424
2	4	5	2.3051686784277314
2	4	4	4.211699164345403
2	4	3	0.18446301454657998
2	2	6	0.018570102135561744
2	4	1	0.14360878984834416
2	4	2	0.2649334571340142
2	3	10	0.11637264004952026
2	2	8	0.23026926648096563
2	2	9	0.15846487155679354
2	2	10	0.03714020427112349
2	4	0	0.03714020427112349
2	3	2	0.03528319405756731
2	3	3	0.047044258743423086
2	3	1	0.021946484342027516
2	3	5	0.04244594773842684
2	3	6	0.027855153203342614
2	3	7	0.028886825544207156
2	3	8	0.19808108944599193
2	3	9	0.09161250386877128
2	3	4	0.03714020427112349
3	0	3	0.03714020427112349
3	0	0	0.05968961400716275
3	0	1	0.034283265481037065
3	0	2	0.0385686736661667
3	0	4	0.6004333023831631
3	0	10	0.45434849891674395
3	0	6	0.32807180439492417
3	8	1	0.2971216341689879
3	8	0	0.03095017022593624
3	7	10	0.03946146703806871
3	7	9	0.06366892160764026
3	7	8	0.159702878365831
3	7	7	0.3416898792943361
3	7	5	0.02321262766945218
3	7	4	0.03142632669095064
3	7	3	0.027855153203342614
3	7	2	0.038828395374356374
3	7	1	0.17332095326524297
3	7	0	0.018570102135561744
3	6	10	1.4497059733828535
3	8	2	0.20674713710925408
3	6	9	0.971835345094398
3	6	7	0.07560684440907281
3	6	6	1.4719900959455277
3	6	5	2.093469514082327
3	6	4	2.368307025688641
3	6	3	0.09152407481098289
3	6	2	0.08170844939647168
3	6	1	0.08542246982358402
3	6	0	0.02321262766945218
3	5	10	1.1847725162488392
3	5	9	0.8406066233364282
3	5	8	0.23398328690807796
3	5	7	0.07958615200955033
3	5	6	1.8248220365212007
3	6	8	0.3317858248220365
3	5	5	2.3571649644073043
3	8	3	0.22655524605385327
3	8	5	0.06713806156703092
3	0	5	0.4097802537913958
3	10	10	1.4199938099659548
3	10	9	0.8282265552460538
3	10	8	0.34787991333952334
3	10	7	0.06190034045187248
3	10	6	0.6313834726090993
3	10	5	0.5447229959764778
3	10	4	1.1104921077065921
3	10	3	0.15227483751160628
3	10	2	0.06499535747446611
3	10	1	0.06066233364283503
3	10	0	0.02166511915815537
3	9	10	0.8393686165273909
3	8	4	0.13122872175796965
3	9	9	1.034973692355308
3	9	7	0.20550913030021664
3	9	6	0.393686165273909
3	9	5	0.344165892912411
3	9	4	1.0151655834107087
3	9	3	0.09408851748684617
3	9	2	0.20427112349117918
3	9	1	0.2575054162797895
3	9	0	0.018570102135561744
3	8	10	0.15351284432064377
3	8	9	0.2872175796966883
3	8	8	1.3902816465490557
3	8	7	0.16960693283813058
3	8	6	0.06932838130609718
3	9	8	0.5360569483132157
3	5	4	1.8446301454657998
3	7	6	0.03714020427112349
3	5	3	0.07675642216032189
3	3	3	0.047044258743423086
3	3	2	0.03528319405756731
3	3	1	0.021946484342027516
3	2	10	0.03714020427112349
3	2	9	0.15846487155679354
3	2	8	0.23026926648096563
3	2	6	0.018570102135561744
3	2	5	0.028886825544207156
3	2	4	0.04428255124633954
3	2	3	0.04085422469823584
3	2	2	0.07056638811513462
3	2	1	0.07923243577839677
3	3	4	0.03714020427112349
3	2	0	0.018570102135561744
3	1	9	0.08418446301454657
3	1	8	0.2079851439182915
3	1	7	0.20550913030021664
3	1	6	0.03714020427112349
3	1	5	0.02599814298978644
3	1	4	0.042204777580822146
3	1	3	0.026528717336516777
3	1	2	0.04642525533890436
3	1	1	0.12380068090374496
3	1	0	0.018570102135561744
3	0	9	0.30826369545032495
3	0	8	0.11389662643144537
3	1	10	0.0350768595893944
3	3	5	0.04244594773842684
3	2	7	0.06632179334129194
3	4	7	0.21788919839059112
3	5	1	0.08913649025069637
3	4	10	3.1222531723924476
3	4	9	2.5292479108635093
3	4	8	0.6648096564531104
3	3	6	0.027855153203342614
3	4	6	2.493345713401424
3	5	2	0.08666047663262148
3	4	5	2.3051686784277314
3	4	4	4.211699164345403
3	4	3	0.18446301454657998
3	4	2	0.2649334571340142
3	4	1	0.14360878984834416
3	4	0	0.03714020427112349
3	5	0	0.025533890436397397
3	0	7	0.048282265552460533
3	3	7	0.028886825544207156
3	3	9	0.09161250386877128
3	3	8	0.19808108944599193
3	3	10	0.11637264004952026
4	6	10	1.4497059733828535
4	5	10	1.1847725162488392
4	6	9	0.971835345094398
4	6	8	0.3317858248220365
4	6	0	0.02321262766945218
4	6	3	0.09152407481098289
4	6	7	0.07560684440907281
4	6	6	1.4719900959455277
4	6	5	2.093469514082327
4	6	4	2.368307025688641
4	6	1	0.08542246982358402
4	4	3	0.18446301454657998
4	6	2	0.08170844939647168
4	4	2	0.2649334571340142
4	10	7	0.06190034045187248
4	4	10	3.1222531723924476
4	5	9	0.8406066233364282
4	5	0	0.025533890436397397
4	5	1	0.08913649025069637
4	4	9	2.5292479108635093
4	5	2	0.08666047663262148
4	4	8	0.6648096564531104
4	4	7	0.21788919839059112
4	7	0	0.018570102135561744
4	4	6	2.493345713401424
4	5	3	0.07675642216032189
4	5	4	1.8446301454657998
4	5	5	2.3571649644073043
4	4	5	2.3051686784277314
4	5	6	1.8248220365212007
4	5	7	0.07958615200955033
4	5	8	0.23398328690807796
4	4	4	4.211699164345403
4	7	1	0.17332095326524297
4	8	4	0.13122872175796965
4	7	3	0.027855153203342614
4	8	6	0.06932838130609718
4	8	7	0.16960693283813058
4	9	9	1.034973692355308
4	8	8	1.3902816465490557
4	9	8	0.5360569483132157
4	10	8	0.34787991333952334
4	9	7	0.20550913030021664
4	9	6	0.393686165273909
4	8	9	0.2872175796966883
4	8	10	0.15351284432064377
4	9	0	0.018570102135561744
4	9	5	0.344165892912411
4	9	1	0.2575054162797895
4	9	4	1.0151655834107087
4	9	3	0.09408851748684617
4	8	5	0.06713806156703092
4	7	2	0.038828395374356374
4	9	10	0.8393686165273909
4	9	2	0.20427112349117918
4	7	4	0.03142632669095064
4	7	5	0.02321262766945218
4	7	6	0.03714020427112349
4	7	7	0.3416898792943361
4	7	8	0.159702878365831
4	7	9	0.06366892160764026
4	7	10	0.03946146703806871
4	8	0	0.03095017022593624
4	8	1	0.2971216341689879
4	10	6	0.6313834726090993
4	8	2	0.20674713710925408
4	8	3	0.22655524605385327
4	10	2	0.06499535747446611
4	10	5	0.5447229959764778
4	10	1	0.06066233364283503
4	10	0	0.02166511915815537
4	4	1	0.14360878984834416
4	10	3	0.15227483751160628
4	3	10	0.11637264004952026
4	1	7	0.20550913030021664
4	1	6	0.03714020427112349
4	1	5	0.02599814298978644
4	1	4	0.042204777580822146
4	1	3	0.026528717336516777
4	1	2	0.04642525533890436
4	1	1	0.12380068090374496
4	0	10	0.45434849891674395
4	0	9	0.30826369545032495
4	0	8	0.11389662643144537
4	0	7	0.048282265552460533
4	0	6	0.32807180439492417
4	0	5	0.4097802537913958
4	0	4	0.6004333023831631
4	0	3	0.03714020427112349
4	0	2	0.0385686736661667
4	0	1	0.034283265481037065
4	10	10	1.4199938099659548
4	0	0	0.05968961400716275
4	10	4	1.1104921077065921
4	4	0	0.03714020427112349
4	1	8	0.2079851439182915
4	1	9	0.08418446301454657
4	1	0	0.018570102135561744
4	3	7	0.028886825544207156
4	3	9	0.09161250386877128
4	3	8	0.19808108944599193
4	1	10	0.0350768595893944
4	3	6	0.027855153203342614
4	3	5	0.04244594773842684
4	3	4	0.03714020427112349
4	3	3	0.047044258743423086
4	3	2	0.03528319405756731
4	3	1	0.021946484342027516
4	2	9	0.15846487155679354
4	2	8	0.23026926648096563
4	2	10	0.03714020427112349
4	2	2	0.07056638811513462
4	2	6	0.018570102135561744
4	2	5	0.028886825544207156
4	2	4	0.04428255124633954
4	2	3	0.04085422469823584
4	2	7	0.06632179334129194
4	2	1	0.07923243577839677
4	10	9	0.8282265552460538
4	2	0	0.018570102135561744
5	5	8	0.23398328690807796
5	5	9	0.8406066233364282
5	5	10	1.1847725162488392
5	4	5	2.3051686784277314
5	6	0	0.02321262766945218
5	6	3	0.09152407481098289
5	6	5	2.093469514082327
5	5	7	0.07958615200955033
5	6	2	0.08170844939647168
5	6	4	2.368307025688641
5	6	1	0.08542246982358402
5	5	6	1.8248220365212007
5	4	7	0.21788919839059112
5	5	4	1.8446301454657998
5	5	3	0.07675642216032189
5	5	2	0.08666047663262148
5	0	4	0.6004333023831631
5	5	1	0.08913649025069637
5	5	0	0.025533890436397397
5	9	4	1.0151655834107087
5	4	10	3.1222531723924476
5	4	9	2.5292479108635093
5	6	6	1.4719900959455277
5	4	6	2.493345713401424
5	4	8	0.6648096564531104
5	5	5	2.3571649644073043
5	6	7	0.07560684440907281
5	8	5	0.06713806156703092
5	6	9	0.971835345094398
5	9	1	0.2575054162797895
5	9	0	0.018570102135561744
5	8	10	0.15351284432064377
5	8	9	0.2872175796966883
5	8	8	1.3902816465490557
5	8	7	0.16960693283813058
5	8	6	0.06932838130609718
5	4	4	4.211699164345403
5	8	4	0.13122872175796965
5	8	3	0.22655524605385327
5	8	2	0.20674713710925408
5	8	1	0.2971216341689879
5	8	0	0.03095017022593624
5	7	10	0.03946146703806871
5	7	9	0.06366892160764026
5	7	8	0.159702878365831
5	7	7	0.3416898792943361
5	7	6	0.03714020427112349
5	7	5	0.02321262766945218
5	7	4	0.03142632669095064
5	7	3	0.027855153203342614
5	7	2	0.038828395374356374
5	7	1	0.17332095326524297
5	0	5	0.4097802537913958
5	9	3	0.09408851748684617
5	7	0	0.018570102135561744
5	6	10	1.4497059733828535
5	6	8	0.3317858248220365
5	4	3	0.18446301454657998
5	2	2	0.07056638811513462
5	4	1	0.14360878984834416
5	0	6	0.32807180439492417
5	0	3	0.03714020427112349
5	10	7	0.06190034045187248
5	0	7	0.048282265552460533
5	1	3	0.026528717336516777
5	9	7	0.20550913030021664
5	10	4	1.1104921077065921
5	0	2	0.0385686736661667
5	10	8	0.34787991333952334
5	9	6	0.393686165273909
5	10	3	0.15227483751160628
5	0	1	0.034283265481037065
5	10	5	0.5447229959764778
5	10	9	0.8282265552460538
5	10	2	0.06499535747446611
5	10	10	1.4199938099659548
5	0	9	0.30826369545032495
5	0	0	0.05968961400716275
5	10	1	0.06066233364283503
5	0	10	0.45434849891674395
5	1	2	0.04642525533890436
5	9	8	0.5360569483132157
5	10	0	0.02166511915815537
5	1	0	0.018570102135561744
5	9	9	1.034973692355308
5	1	1	0.12380068090374496
